"","State_Name","state_abbr","data_year","totalCrimes","churchesPerState","state_pop","Buddhist","Catholic","Evangelical.Protestant","Hindu","Historically.Black.Protestant","Jehovah.s.Witness","Jewish","Mainline.Protestant","Mormon","Muslim","Orthodox.Christian","Other.Christian","Other.Faiths","Other.World.Religions","Unaffiliated..religious..nones..","Don.t.know"
"1","Alabama","AL",2021,10,3494,5050380,0,244.58,1712.06,0,0.16,0,0,454.22,34.94,0,0,0,34.94,0,419.28,0.01
"2","Alabama","AL",2022,9,3494,5073903,0,244.58,1712.06,0,0.16,0,0,454.22,34.94,0,0,0,34.94,0,419.28,0.01
"3","Alaska","AK",2021,1,846,734923,8.46,135.36,186.12,0,0.03,0,0,101.52,42.3,0,42.3,0,33.84,0.01,262.26,0.01
"4","Alaska","AK",2020,1,846,732964,8.46,135.36,186.12,0,0.03,0,0,101.52,42.3,0,42.3,0,33.84,0.01,262.26,0.01
"5","Arizona","AZ",2017,14,4031,7044008,40.31,846.51,1048.06,0.01,0.01,80.62,0.02,483.72,201.55,40.31,0,0,80.62,0,1088.37,0
"6","Arizona","AZ",2014,2,4031,6730413,40.31,846.51,1048.06,0.01,0.01,80.62,0.02,483.72,201.55,40.31,0,0,80.62,0,1088.37,0
"7","Arizona","AZ",2019,4,4031,7278717,40.31,846.51,1048.06,0.01,0.01,80.62,0.02,483.72,201.55,40.31,0,0,80.62,0,1088.37,0
"8","Arizona","AZ",2016,3,4031,6941072,40.31,846.51,1048.06,0.01,0.01,80.62,0.02,483.72,201.55,40.31,0,0,80.62,0,1088.37,0
"9","Arizona","AZ",2018,4,4031,7158024,40.31,846.51,1048.06,0.01,0.01,80.62,0.02,483.72,201.55,40.31,0,0,80.62,0,1088.37,0
"10","Arizona","AZ",2020,7,4031,7186683,40.31,846.51,1048.06,0.01,0.01,80.62,0.02,483.72,201.55,40.31,0,0,80.62,0,1088.37,0
"11","Arizona","AZ",2021,9,4031,7272487,40.31,846.51,1048.06,0.01,0.01,80.62,0.02,483.72,201.55,40.31,0,0,80.62,0,1088.37,0
"12","Arizona","AZ",2022,15,4031,7365684,40.31,846.51,1048.06,0.01,0.01,80.62,0.02,483.72,201.55,40.31,0,0,80.62,0,1088.37,0
"13","Arkansas","AR",2022,3,2644,3046404,0,211.52,1216.24,0,0.08,0,0,423.04,26.44,52.88,0,0,26.44,0,475.92,0
"14","Arkansas","AR",2018,1,2644,3009733,0,211.52,1216.24,0,0.08,0,0,423.04,26.44,52.88,0,0,26.44,0,475.92,0
"15","Arkansas","AR",2021,2,2644,3028443,0,211.52,1216.24,0,0.08,0,0,423.04,26.44,52.88,0,0,26.44,0,475.92,0
