"","X","incident_id","data_year","ori","pug_agency_name","pub_agency_unit","agency_type_name","state_abbr","state_name","division_name","region_name","population_group_code","population_group_description","incident_date","adult_victim_count","juvenile_victim_count","total_offender_count","adult_offender_count","juvenile_offender_count","offender_race","offender_ethnicity","victim_count","offense_name","total_individual_victims","location_name","bias_desc","victim_types","multiple_offense","multiple_bias","Anti.Black.or.African.American","Anti.White","Anti.Arab","Anti.Protestant","Anti.Islamic..Muslim.","Anti.Gay..Male.","Anti.Asian","Anti.Catholic","Anti.Multiple.Religions..Group","Anti.Hispanic.or.Latino","Anti.Lesbian..Female.","Anti.Other.Race.Ethnicity.Ancestry","Anti.Jewish","Anti.American.Indian.or.Alaska.Native","Anti.Lesbian..Gay..Bisexual..or.Transgender..Mixed.Group.","Anti.Heterosexual","Anti.Atheism.Agnosticism","Anti.Bisexual","Anti.Physical.Disability","Anti.Mental.Disability","Anti.Jehovah.s.Witness","Anti.Church.of.Jesus.Christ","Anti.Buddhist","Anti.Sikh","Anti.Other.Christian","Anti.Hindu","Anti.Eastern.Orthodox..Russian..Greek..Other.","Anti.Transgender","Anti.Gender.Non.Conforming","Anti.Male","Aggravated.Assault","Intimidation","Simple.Assault","Robbery","Destruction.Damage.Vandalism.of.Property","Murder.and.Nonnegligent.Manslaughter","Arson","Burglary.Breaking...Entering","Not.Specified","Rape","Motor.Vehicle.Theft","Drug.Narcotic.Violations","Theft.From.Motor.Vehicle","All.Other.Larceny","Shoplifting","Weapon.Law.Violations","Theft.of.Motor.Vehicle.Parts.or.Accessories","Counterfeiting.Forgery","Fondling","Kidnapping.Abduction","Theft.From.Building","Pornography.Obscene.Material","Embezzlement","Purse.snatching","Drug.Equipment.Violations","Credit.Card.Automated.Teller.Machine.Fraud","Sexual.Assault.With.An.Object","False.Pretenses.Swindle.Confidence.Game","Pocket.picking","Welfare.Fraud","Extortion.Blackmail","Stolen.Property.Offenses","Incest","Negligent.Manslaughter","Sodomy","Statutory.Rape","Theft.From.Coin.Operated.Machine.or.Device","Impersonation","Prostitution","Wire.Fraud","Assisting.or.Promoting.Prostitution","Purchasing.Prostitution","Bribery","Identity.Theft","Human.Trafficking..Commercial.Sex.Acts","Hacking.Computer.Invasion","Betting.Wagering","Animal.Cruelty","Gambling.Equipment.Violation","Human.Trafficking..Involuntary.Servitude","Treason","Federal.Liquor.Offenses","anti_lgbt","StatePop"
"1",1,169159,2014,"AZ0039700","Northern Arizona University","","University or College","AZ","Arizona","Mountain","West","7","Cities under 2,500","9/19/14",0,0,0,0,0,"Unknown","Not Specified",17,"Destruction/Damage/Vandalism of Property",17,"School/College","Anti-Bisexual","Individual","S","S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6730413
"2",2,169190,2014,"AZ0071700","Mesa","","City","AZ","Arizona","Mountain","West","1C","Cities from 250,000 thru 499,999","11/25/14",0,0,2,0,0,"Multiple","Not Specified",1,"Simple Assault",1,"Highway/Road/Alley/Street/Sidewalk","Anti-Bisexual","Individual","S","S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6730413
"3",3,169457,2014,"CA0011200","San Leandro","","City","CA","California","Pacific","West","3","Cities from 50,000 thru 99,999","5/22/14",0,0,1,0,0,"Black or African American","Not Specified",1,"Simple Assault",1,"Residence/Home","Anti-Transgender","Individual","S","S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38596972
"4",4,169490,2014,"CA0070100","Antioch","","City","CA","California","Pacific","West","2","Cities from 100,000 thru 249,999","4/8/14",0,0,3,0,0,"Black or African American","Not Specified",1,"Simple Assault",1,"Highway/Road/Alley/Street/Sidewalk","Anti-Transgender","Individual","S","S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38596972
"5",5,169491,2014,"CA0070100","Antioch","","City","CA","California","Pacific","West","2","Cities from 100,000 thru 249,999","6/29/14",0,0,1,0,0,"Black or African American","Not Specified",1,"Intimidation",1,"Residence/Home","Anti-Transgender","Individual","S","S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38596972
"6",6,169524,2014,"CA0100500","Fresno","","City","CA","California","Pacific","West","1B","Cities from 500,000 thru 999,999","12/1/14",0,0,1,0,0,"White","Not Specified",1,"Aggravated Assault",1,"Hotel/Motel/Etc.","Anti-Bisexual","Individual","S","S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38596972
"7",7,169546,2014,"CA0190000","Los Angeles","","County","CA","California","Pacific","West","9A","MSA counties 100,000 or over","4/21/14",0,0,8,0,0,"White","Not Specified",1,"Aggravated Assault",1,"Parking/Drop Lot/Garage","Anti-Bisexual","Individual","S","S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38596972
"8",8,169744,2014,"CA0194200","Los Angeles","","City","CA","California","Pacific","West","1A","Cities 1,000,000 or over","10/18/14",0,0,1,0,0,"White","Not Specified",1,"Aggravated Assault",1,"Highway/Road/Alley/Street/Sidewalk","Anti-Transgender","Individual","S","S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38596972
"9",9,169758,2014,"CA0194200","Los Angeles","","City","CA","California","Pacific","West","1A","Cities 1,000,000 or over","12/16/14",0,0,3,0,0,"White","Not Specified",1,"Aggravated Assault",1,"Highway/Road/Alley/Street/Sidewalk","Anti-Transgender","Individual","S","S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38596972
"10",10,169764,2014,"CA0194200","Los Angeles","","City","CA","California","Pacific","West","1A","Cities 1,000,000 or over","3/6/14",0,0,1,0,0,"Black or African American","Not Specified",1,"Aggravated Assault",1,"Highway/Road/Alley/Street/Sidewalk","Anti-Transgender","Individual","S","S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38596972
"11",11,169770,2014,"CA0194200","Los Angeles","","City","CA","California","Pacific","West","1A","Cities 1,000,000 or over","9/21/14",0,0,2,0,0,"White","Not Specified",1,"Robbery",1,"Highway/Road/Alley/Street/Sidewalk","Anti-Transgender","Individual","S","S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38596972
"12",12,169771,2014,"CA0194200","Los Angeles","","City","CA","California","Pacific","West","1A","Cities 1,000,000 or over","10/10/14",0,0,6,0,0,"White","Not Specified",1,"Simple Assault",1,"Highway/Road/Alley/Street/Sidewalk","Anti-Transgender","Individual","S","S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38596972
"13",13,169772,2014,"CA0194200","Los Angeles","","City","CA","California","Pacific","West","1A","Cities 1,000,000 or over","11/6/14",0,0,8,0,0,"White","Not Specified",1,"Intimidation",1,"Highway/Road/Alley/Street/Sidewalk","Anti-Transgender","Individual","S","S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38596972
